Participant_ID,Gender,cuisine,ethnic_food,fav_cuisine,fruit_day,greek_food,indian_food,italian_food,marital_status,persian_food,thai_food,veggies_day,weight,Age,Nationality,Food,Dessert,Drink
FPS043,Female,Mexican.Spanish,3,Italian,3,3,1,5,In a relationship,1,4,3,112,16,Indian,"cereal, mac and cheese, Mac and Cheese, Chicken nuggets, vegtables, orange juice",Yes,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS044,Female,American,5,Italian ,5,2,2,4,In a relationship,1,2,5,144 lbs,16,Indian,"cereal, Ice cream, cake, mozzarella sticks, pierogies , Mac&Cheese, Chicken Nuggets , It has protein, vegetables and some carbs , soda",Yes,"creamy frapuccino, soda, Fresh Juice, Fresh Juice"
FPS045,Female,other,2,Italian,3,1,1,5,In a relationship,1,5,5,130,16,Indian,"donut, Pizza, burritos, slim jims, Steak, Garlic and butter noodles, schnitzle, Well portioned meat, veggies, and fruits. Water instead of a sugary drink like pop. , soda",Yes,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS046,Female,American,5,Italian,5,5,5,5,In a relationship,5,5,5,140,16,Indian,"cereal, Broccoli, spaghetti squash, quinoa, and grilled chicken, Pizza and Spaghetti, A vegetable, a protein, and a fruit, orange juice",Yes,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS047,Female,American,5,Italian ,5,3,4,5,In a relationship,3,4,5,140,16,Indian,"cereal, Chocolate, ice cream, cookie dough, Spaghetti , A balanced meal with a protein, carbohydrate and a vegetable., orange juice",Yes,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS048,Female,American,4,Italian,3,3,3,5,Single,3,3,3,170,16,Indian,"cereal, pizza, ice cream, cookies, spaghetti and tacos, lots of colors, soda",Yes,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS049,Female,American,5,Mexican cuisine,5,5,5,5,In a relationship,4,5,5,167,16,Indian,"cereal, Pasta dishes, Cheesecake, Pancakes, Spaghetti and Pop-tarts, Mostly vegetables and plenty of lean protein and healthy fats to keep you full, soda",Yes,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS050,Female,American,2,American,2,1,1,4,In a relationship,1,1,1,135,16,Indian,"donut, Macaroni and cheese, chicken noodle soup, pizza, Pasta, chicken, pizza , Very colorful and smaller portions of the unhealthy food with larger portions of vegetables , soda",Yes,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS051,Female,American,3,Italian,5,2,2,5,Single,1,3,5,155,16,Indian,"cereal, Mac and Cheese, Pizza, Ice Cream and French Fries , Chicken Parm, Spaghetti, and Grilled Cheese, It combines a protein with other elements of the diet such as vegetables and other items that support the body., soda",Yes,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS052,Female,American,4,I really love italian food and thai food,4,3,3,5,Single,2,5,4,165,16,Indian,"cereal, Chocolate, Pasta, Cookies, dino chicken nuggets, To me a healthy meal is balanced and , orange juice",Yes,"creamy frapuccino, orange juice, Fresh Juice, Fresh Juice"
FPS053,Female,American,2,Italian ,4,2,1,5,Single,1,2,3,200,16,Indian,"cereal, Mac in cheese, pizza, mozzarella sticks , Chicken parm. , Salad with chicken and vegetables with a raspberry vinaigrette , soda",Yes,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS054,Female,American,4,American ,5,3,3,5,In a relationship,2,4,5,140,16,Indian,"cereal, Chinese, chips, cake, Chinese, Chicken vegetables and fruit for dinner , orange juice",Yes,"creamy frapuccino, orange juice, Fresh Juice, Fresh Juice"
FPS055,Male,Korean/Asian,3,Indian,3,5,5,5,In a relationship,5,5,2,195,18,Indian,"cereal, chocolate, sweets, ice cream, Pasta, Green and colourful, orange juice",Yes,"creamy frapuccino, orange juice, Carbonated drinks, Carbonated drinks"
FPS056,Male,other,5,lebanese or greek,5,5,5,5,In a relationship,5,5,5,175,18,Indian,"cereal, candy, Chinese, mcdonalds, steak, spaghetti, salmon, steak or salmon with broccoli or asparagus and brown rice or quinoa, soda",Yes,"espresso shown, soda, Carbonated drinks, Carbonated drinks"
FPS057,Male,other,1,Arabic cuisine,5,5,5,5,Single,5,1,5,187,15,Indian,"cereal, none, rice  and chicken , looks not oily , orange juice",Yes,"creamy frapuccino, orange juice, Carbonated drinks, Carbonated drinks"
FPS058,Male,American,3,Italian,2,3,2,5,Single,3,3,2,165,15,Indian,"cereal, pizza, wings, Chinese, manacotti, lots of fruits and vegitibles, not any fried foods, soda",Yes,"espresso shown, soda, Carbonated drinks, Carbonated drinks"
FPS059,Male,Mexican.Spanish,3,italian ,4,4,5,5,Single,2,4,3,185,15,Indian,"cereal, burgers, chips, cookies, pasta, pasta. veg, water , orange juice",Yes,"creamy frapuccino, orange juice, Carbonated drinks, Carbonated drinks"
FPS060,Male,American,2,Italian food ,3,1,1,5,In a relationship,1,2,3,160,15,Indian,"cereal, Chips, ice cream, microwaveable foods , Chicken Parm, Pizza , A rice, a vegetable, a piece of meat , orange juice",Yes,"creamy frapuccino, orange juice, Carbonated drinks, Carbonated drinks"
FPS061,Male,American,3,Mexican ,5,3,3,4,In a relationship,2,3,5,175,15,Indian,"cereal, Chicken fingers, pizza , Steak, Salad, vegetable, carb, protein , soda",Yes,"espresso shown, soda, Carbonated drinks, Carbonated drinks"
FPS062,Male,American,4,Italian ,3,5,3,5,Single,3,3,4,140,15,Indian,"cereal, Pizza, Ice cream, fries, cereal, cookies  , pizza, ice cream. pop tarts , A meal with all of the food groups. , soda",Yes,"creamy frapuccino, soda, Carbonated drinks, Carbonated drinks"
FPS063,Male,American,4,Italian ,4,4,3,5,Single,3,3,4,168,15,Indian,"cereal, popcorn, chips, candy, & fries , chicken soup,  perogies, & roast beef  , A meal that you have cooked yourself without a lot of grease or fat in it.  , soda",Yes,"creamy frapuccino, soda, Carbonated drinks, Carbonated drinks"
FPS064,Male,American,4,Asian ,5,4,4,5,Single,4,4,5,155,15,Indian,"donut, pizza, ice cream, chips, Tacos, Spaghetti, and Roast, one that is well balanced and consists on main food groups, soda",Yes,"creamy frapuccino, soda, Carbonated drinks, Carbonated drinks"
FPS065,Male,American,5,All ,5,5,5,5,Single,5,5,4,185,15,Indian,"cereal, Burger, Steak , Chicken , orange juice",Yes,"creamy frapuccino, orange juice, Carbonated drinks, Carbonated drinks"
FPS066,Male,American,4,Mexican ,5,5,3,5,Single,3,3,5,200,15,Indian,"cereal, Pizza, chocolate, and ice cream , Grilled chicken, pasta, and turkey , Low carbs and high protein , orange juice",Yes,"espresso shown, orange juice, Carbonated drinks, Carbonated drinks"
FPS067,Male,American,5,Chinese,5,5,4,5,Single,4,5,4,145,15,Indian,"cereal, Chips sweets popcorn, Sloppy joes, All food groups, soda",Yes,"espresso shown, soda, Carbonated drinks, Carbonated drinks"
FPS068,Male,Mexican.Spanish,4,Italian,3,3,3,5,Single,3,3,2,210,15,Indian,"cereal, Ice cream, cake, pop, pizza, and milkshakes., Pizza, Modest proportions of many different food groups., soda",Yes,"espresso shown, soda, Carbonated drinks, Carbonated drinks"
FPS069,Male,Indian,4,Korean,4,3,5,4,In a relationship,3,5,3,138,15,Indian,"cereal, Burgers, indian and korean food, Dumplings, Chicken Curry and Pizza, Meat, greens and food containing protein, soda",Yes,"espresso shown, soda, Carbonated drinks, Carbonated drinks"
FPS070,Male,American,2,I do not like cuisine,5,1,1,4,In a relationship,2,1,2,150,15,Indian,"cereal, chocolate bar, ice cream, pretzels, potato chips and protein bars., Pasta, Pizza, Popcorn, Intaking the proper amount of each food group, soda",Yes,"espresso shown, soda, Carbonated drinks, Carbonated drinks"
FPS071,Male,Korean/Asian,3,Indian,3,5,5,5,In a relationship,5,5,2,195,18,Indian,"cereal, chocolate, sweets, ice cream, Pasta, Green and colourful, orange juice",Maybe,"creamy frapuccino, orange juice, Fresh Juice, Fresh Juice"
FPS072,Male,other,5,lebanese or greek,5,5,5,5,In a relationship,5,5,5,175,18,Indian,"cereal, candy, Chinese, mcdonalds, steak, spaghetti, salmon, steak or salmon with broccoli or asparagus and brown rice or quinoa, soda",Maybe,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS073,Female,American,4,Italian,4,4,4,4,In a relationship,4,2,4,155,17,Indian,"cereal, chocolate, chips, ice cream, chicken and biscuits, beef soup, baked beans, Grains, Veggies, (more of grains and veggies), small protein and fruit with dairy , soda",No,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS074,Female,Mexican.Spanish,5,Turkish ,4,5,5,5,In a relationship,5,5,3,"Not sure, 240",17,Indian,"cereal, Pizza, Mac and cheese, ice cream, Beef stroganoff, tacos, pizza, Fresh fruits& vegetables, organic meats , soda",No,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS075,Female,Mexican.Spanish,4,Italian ,4,4,2,5,Single,2,4,4,190,17,Indian,"cereal, Ice cream, chocolate, chips , Pasta, chicken tender, pizza , A lean protein such as grilled chicken, green vegetables and  brown rice or other whole grain , soda",No,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS076,Female,other,4,Italian,3,5,3,5,In a relationship,3,5,4,170,17,Indian,"cereal, chocolate, chips, candy, Pasta, A protein, starch, veg, and a healthier dessert. , soda",No,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS077,Female,American,4,italian,4,3,3,5,In a relationship,3,2,3,150,17,Indian,"cereal, chocolate, popcorn, ice cream, chicken parmesan, a lean protein plus the addition of 2-3 fruits and vegetables, orange juice",No,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS078,Female,American,5,Thai food,5,5,5,5,Single,5,5,5,170,17,Indian,"cereal, Potato chips, ice cream, chocolate, cookies, Mac and Cheese, Hot Dogs, Grilled Cheese, Mostly green!, orange juice",No,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS079,Female,American,5,Italian ,5,5,5,5,Single,4,5,4,155,17,Indian,"cereal, Mac n Cheese. Chips and salsa. Ice cream. , Mac and cheese , Proper serving sizes of almost anything , soda",No,"espresso shown, soda, Fresh Juice, Fresh Juice"
FPS080,Female,other,4,Mexican ,3,3,2,4,In a relationship,3,2,3,118,17,Indian,"cereal, Macaroons, truffles, peanut butter n chocolate ice cream, Chocolate, chicken, veggies, fruit, water , orange juice",No,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS081,Female,Mexican.Spanish,5,Italian ,5,4,4,4,In a relationship,4,4,5,180,17,Indian,"cereal, carrots and ranch, pretzels, dark chocolate , chicken tenders, pasta, mac&cheese , high protein, fruit, veggies, low carbs and fat, orange juice",No,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS082,Female,American,4,Italian,4,4,4,5,In a relationship,4,4,2,190,17,Indian,"donut, cake, French fries, chicken nuggets, chicken fingers, pasta, pizza, all elements of food pyramid, soda",No,"creamy frapuccino, soda, Fresh Juice, Fresh Juice"
FPS083,Female,other,5,Authentic Chinese and Vietnamese food ,5,4,5,5,Single,4,5,5,129,17,Indian,"cereal, carrots, plantain chips, almonds, popcorn , Jollof Rice, Bread, pasta , Healthy meal for me is a food rich in protein, fiber, some sort of carbohydrates, orange juice",No,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS084,Female,American,5,Indian food,5,3,5,5,Single,3,3,5,130,17,Indian,"cereal, dark chocolate, terra chips, reese's cups(dark chocolate), and bread/crackers with cottage cheese, Tortellini and Broccoli with parmesan cheese and homemade breaded chicken with sweet potato, Salmon, sweet potato, and larger portion, but equally spread of broccoli, squash, zucchini, carrots, and tomatoes., orange juice",No,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS085,Female,Mexican.Spanish,3,Italian,3,4,3,5,In a relationship,4,3,3,160,17,Indian,"cereal, Ice-cream, pizza, chocolate, Spaghetti, It includes a protein, vegetable, fruit, and grain. , orange juice",No,"creamy frapuccino, orange juice, Fresh Juice, Fresh Juice"
FPS086,Female,other,3,Mexican Food,4,1,5,5,Single,1,4,5,180,17,Indian,"cereal, Pizza / Wings / Cheesecake, Isombe , Plantains and Ugali, A healthy meal is a variety of food , organic food that gives you the nutrients such as protein , carbohydrates , fat , water , vitamins and minerals., orange juice",No,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS087,Female,other,5,Korean,4,5,5,3,Single,5,5,4,120,17,Indian,"cereal, rice, potato, seaweed soup, Rice and potato, lots of vegetables, orange juice",No,"creamy frapuccino, orange juice, Fresh Juice, Fresh Juice"
FPS088,Female,Korean/Asian,3,HISPANIC CUISINE.,3,2,2,3,In a relationship,2,2,4,135,17,Indian,"cereal, Chocolates, pizza, and Ritz., rice, beans, and chicken / pizza/ tenders, a cup of rice, vegetables, and meat. , orange juice",No,"espresso shown, orange juice, Fresh Juice, Fresh Juice"
FPS089,Male,American,5,Thai,4,5,5,5,Single,5,5,4,180,17,Algerian ,"cereal, Chocolate, ice cream, french fries, pretzels, grilled chicken, hamburgers, Protein, vegetables, fruit, and some carbs, orange juice",No,Fresh Juice
FPS090,Female,American,5,Seafood,4,5,5,5,In a relationship,5,5,3,180,14,Canadian,"cereal, Donuts, ice cream, chips, Shrimp, spaghetti, Colorful, orange juice",No,espresso shown
FPS091,Female,American,5,Italian ,5,5,4,5,In a relationship,4,4,5,125,14,China,"cereal, Mac and cheese, chocolate, and pasta , Pasta, Eggs, Pancakes , Chicken and rice with a side of veggies. , orange juice",No,creamy frapuccino
FPS092,Female,American,5,Italian,5,5,5,5,In a relationship,5,5,5,110,15,Indonesain,"cereal, chocolate, pasta, soup, chips, popcorn, Scalloped potatoes and ham , lean protein, veggies, fruit, complex carbs, orange juice",No,soda
FPS093,Male,American,4,Chinese ,4,3,3,4,In a relationship,3,3,3,264,14,Indonesia,"cereal, Cookies, popcorn, and chips, Pizza, chicken wings, and corn on the cob , A salad with a reasonable amount of dressing and a meat., soda",No,soda
FPS094,Male,American,4,Chinese ,5,4,2,3,Single,1,4,5,185,16,Indonesia,"cereal, Pizza, fruit, spaghetti, chicken and Potatoes  , Pizza, Green and not greasy, soda",No,orange juice
FPS095,Male,American,1,italian food,3,1,1,5,In a relationship,1,1,1,180,14,Indonesia,"donut, cookies, donuts, candy bars, pizza, chicken, veggies, rice, soda",Maybe,soda
FPS096,Female,other,2,Jamaican ,5,2,5,3,In a relationship,2,1,5,145,15,Indonesia,"cereal, Saltfish, Candy and Kit Kat , Curry, Stew Chicken and Saltfish, Not too much carbs, a lot of protein, healthy fats and fruits and vegs , orange juice",No,espresso shown
FPS097,Male,American,4,American or Italian ,3,3,3,5,In a relationship,2,3,4,170,14,Indonesia,"cereal, chips, cookies, ice cream, chicken fingers, steak, mac and cheese, for me usually a big piece of chicken or steak with a side of veggies, and i usually have rice with mine as well, soda",No,Fresh Juice
FPS098,Female,American,1,Chicken ,5,3,1,5,In a relationship,1,1,5,135,15,Indonesia,"cereal, Chocolate, ice crea , Chicken, Everything from food group , orange juice",No,Fresh Juice
FPS099,Male,American,4,Mexican,2,2,1,4,Single,1,1,3,175,16,Indonesia,"cereal, Fast food, pizza, subs, pizza, chicken fingers, Rice, Meat, vegetable, soda",No,creamy frapuccino
FPS100,Male,American,5,Asian ,3,2,4,5,Single,2,4,4,185,17,Indonesian,"donut, Chilli, soup, pot pie, Chicken Nuggets, Protein, vegetables, grains , orange juice",Yes,espresso shown
FPS101,Female,American,2,don't have one,4,3,3,3,Single,3,3,3,125,15,Indonesian ,"donut, chocolate, ice cream/milkshake, cookies, Chicken parm, beef stroganof, tacos, good portions, lots of color, targets main food groups, orange juice",Yes,Fresh Juice
FPS102,Male,Mexican.Spanish,2,Italian/German,3,1,1,5,Single,2,1,2,180,16,Japan,"cereal, cookies, hot chocolate, beef jerky, Deer Steak, Buttered Pasta, Garlic Pasta, Protein, vegetable and grains, orange juice",No,espresso shown
